PredatorID,PreyID
2,21
2,29
21,220
29,28
29,34
29,35
29,41
29,42
29,43
29,49
29,54
29,55
29,56
29,66
29,73
29,77
29,79
29,81
29,84
29,90
29,91
29,94
29,96
29,116
29,172
29,174
29,175
29,181
29,220
34,34
34,35
34,42
34,43
34,54
34,66
34,73
34,77
34,79
34,81
34,84
34,90
34,91
34,94
34,96
34,116
35,34
35,35
35,42
35,43
35,54
35,66
35,73
35,77
35,79
35,81
35,84
35,90
35,91
35,94
35,96
35,116
41,73
41,77
41,79
41,81
41,84
41,90
41,91
41,94
41,96
41,116
42,110
42,119
43,110
43,130
43,131
43,133
43,134
43,140
43,141
43,145
43,147
43,148
43,152
43,164
43,165
43,170
43,172
43,174
43,175
43,181
43,192
43,193
43,198
43,199
43,204
43,206
43,209
43,213
43,214
49,110
49,119
49,130
49,131
49,133
49,134
49,140
49,141
49,145
49,147
49,148
49,152
49,164
49,165
49,170
49,172
49,174
49,175
49,181
49,192
49,193
49,198
49,199
49,204
49,206
49,209
49,213
49,214
54,110
54,119
55,110
55,119
56,110
56,130
56,131
56,133
56,134
56,140
56,141
56,145
56,147
56,148
56,152
56,164
56,165
56,170
56,172
56,174
56,175
56,181
56,192
56,193
56,198
56,199
56,204
56,206
56,209
56,213
56,214
66,172
66,174
66,175
66,181
66,220
73,110
73,119
77,110
77,119
79,110
79,119
81,110
81,119
84,110
84,119
90,110
90,119
91,110
91,119
94,110
94,119
96,110
96,119
