PredatorID,PreyID
8,1
8,2
8,7
8,35
11,1
11,2
11,7
11,35
12,1
12,2
12,7
12,35
13,1
13,2
13,7
13,35
22,1
22,2
22,8
22,35
23,1
23,2
23,8
23,35
34,1
35,1
35,2
35,5
35,6
35,7
35,8
35,9
35,10
7,2
7,6
7,35
2,35
9,2
9,7
9,8
9,35
36,2
36,3
36,4
36,9
36,10
36,11
36,12
36,13
36,14
36,15
36,16
36,17
36,18
36,19
36,20
36,21
36,22
36,23
36,24
36,25
36,26
36,27
36,28
36,29
36,30
36,31
36,32
36,33
36,35
14,3
3,36
15,3
16,3
17,3
17,4
18,3
6,5
5,34
10,8
10,9
20,8
21,8
24,8
19,11
19,12
19,15
19,16
19,18
19,19
19,36
26,12
26,14
26,15
26,18
25,14
25,15
25,18
27,14
27,15
27,16
27,18
27,22
28,14
28,15
28,22
29,14
29,15
29,18
32,18
32,22
32,23
32,31
33,19
33,21
33,22
33,23
30,22
30,23
30,27
31,22
