PredatorID,PreyID
1,17
1,18
1,19
1,20
1,21
1,22
1,25
1,26
1,29
17,30
17,32
17,33
17,34
17,35
17,42
17,43
17,49
17,54
17,55
17,56
17,63
17,72
17,75
17,77
17,79
17,88
17,89
17,91
17,93
17,94
17,96
17,102
18,28
18,29
18,30
18,32
18,33
18,34
18,35
18,42
18,43
18,49
18,54
18,55
18,56
18,63
18,72
18,75
18,77
18,79
18,88
18,89
18,91
18,93
18,94
18,96
18,102
18,220
19,30
19,32
19,33
19,34
19,35
19,42
19,43
19,49
19,54
19,55
19,56
19,63
19,72
19,75
19,77
19,79
19,88
19,89
19,91
19,93
19,94
19,96
19,102
19,220
20,30
20,32
20,33
20,34
20,35
20,42
20,43
20,49
20,54
20,55
20,56
20,63
20,72
20,75
20,77
20,79
20,88
20,89
20,91
20,93
20,94
20,96
20,102
20,112
20,113
20,155
20,220
21,220
22,220
25,30
25,32
25,33
25,34
25,35
25,42
25,43
25,49
25,54
25,55
25,56
25,63
25,72
25,75
25,77
25,79
25,88
25,89
25,91
25,93
25,94
25,96
25,102
25,112
25,113
25,155
25,172
25,173
25,185
25,186
25,187
25,220
26,220
29,28
29,30
29,32
29,33
29,34
29,35
29,42
29,43
29,49
29,54
29,55
29,56
29,63
29,72
29,75
29,77
29,79
29,88
29,89
29,91
29,93
29,94
29,96
29,102
29,112
29,113
29,155
29,172
29,173
29,185
29,186
29,187
29,220
2,14
2,17
2,18
2,19
2,20
2,21
2,22
2,25
2,26
2,29
14,30
14,32
14,33
14,34
14,35
14,42
14,43
14,49
14,54
14,55
14,56
14,63
14,72
14,75
14,77
14,79
14,88
14,89
14,91
14,93
14,94
14,96
14,102
14,112
14,113
14,155
14,172
14,173
14,185
14,186
14,187
14,220
30,42
30,54
30,72
30,75
30,77
30,79
30,88
30,89
30,91
30,93
30,94
30,96
30,102
30,112
30,113
32,32
32,33
32,34
32,35
32,42
32,43
32,54
32,63
32,72
32,75
32,77
32,79
32,88
32,89
32,91
32,93
32,94
32,96
32,102
32,112
32,113
33,32
33,33
33,34
33,35
33,42
33,43
33,54
33,63
33,72
33,75
33,77
33,79
33,88
33,89
33,91
33,93
33,94
33,96
33,102
33,112
33,113
34,32
34,33
34,34
34,35
34,42
34,43
34,54
34,63
34,72
34,75
34,77
34,79
34,88
34,89
34,91
34,93
34,94
34,96
34,102
34,112
34,113
35,32
35,33
35,34
35,35
35,42
35,43
35,54
35,63
35,72
35,75
35,77
35,79
35,88
35,89
35,91
35,93
35,94
35,96
35,102
35,112
35,113
42,109
43,109
43,130
43,132
43,133
43,134
43,138
43,139
43,143
43,146
43,148
43,149
43,155
43,168
43,171
43,172
43,173
43,176
43,185
43,186
43,187
43,192
43,193
43,196
43,204
43,209
43,214
49,109
49,130
49,132
49,133
49,134
49,138
49,139
49,143
49,146
49,148
49,149
49,155
49,168
49,171
49,172
49,173
49,176
49,185
49,186
49,187
49,192
49,193
49,196
49,204
49,209
49,214
54,109
55,109
56,109
56,130
56,132
56,133
56,134
56,138
56,139
56,143
56,146
56,148
56,149
56,155
56,168
56,171
56,172
56,173
56,176
56,185
56,186
56,187
56,192
56,193
56,196
56,204
56,209
56,214
63,172
63,173
63,185
63,186
63,187
63,220
72,109
75,109
77,109
79,109
88,109
89,109
91,109
93,109
94,109
96,109
102,109
