,PREY,PREDATOR
1,DECAPODA_INDET,ACTINIARIA_G_SP
2,GAMMARIDAE_INDET,ACTINIARIA_G_SP
3,MACROALGAE,ACTINIARIA_G_SP
4,POLYCHAETA,ACTINIARIA_G_SP
5,CALANUS_FINMARCHICUS,AGLANTHA_DIGITALE
6,DETRITUS,AGLANTHA_DIGITALE
7,OITHONA_SIMILIS,AGLANTHA_DIGITALE
8,ONCAEA_BOREALIS,AGLANTHA_DIGITALE
9,DETRITUS,AGLAOPHAMUS_MALMGRENI
10,LUMBRICLYMENE_MINOR,AGLAOPHAMUS_MALMGRENI
11,LUMBRINERIS_SP,AGLAOPHAMUS_MALMGRENI
12,POLYCHAETA,AGLAOPHAMUS_MALMGRENI
13,POLYNOIDAE_INDET,AGLAOPHAMUS_MALMGRENI
14,GAMMARUS_WILKITZKII,AGONUS_CATAPHRACTUS
15,THEMISTO_ABYSSORUM,AGONUS_CATAPHRACTUS
16,THEMISTO_LIBELLULA,AGONUS_CATAPHRACTUS
17,THYSANOESSA_INERMIS,AGONUS_CATAPHRACTUS
18,THYSANOESSA_LONGICAUDATA,AGONUS_CATAPHRACTUS
19,ACARTIA_SPP,ALLE_ALLE
20,APHERUSA_GLACIALIS,ALLE_ALLE
21,CALANUS_FINMARCHICUS,ALLE_ALLE
22,CALANUS_GLACIALIS,ALLE_ALLE
23,CALANUS_HYPERBOREUS,ALLE_ALLE
24,CLIONE_LIMACINA,ALLE_ALLE
25,FISH_EGG_AND_LARVAE,ALLE_ALLE
26,FRITILLARIA_BOREALIS,ALLE_ALLE
27,GAMMARUS_WILKITZKII,ALLE_ALLE
28,LIMACINA_HELICINA,ALLE_ALLE
29,LIMACINA_RETROVERSA,ALLE_ALLE
30,MEGANYCTIPHANES_NORVEGICA,ALLE_ALLE
31,METRIDIA_LONGA,ALLE_ALLE
32,MICROCALANUS_SPP,ALLE_ALLE
33,OIKOPLEURA_DIOICA,ALLE_ALLE
34,OIKOPLEURA_SPP,ALLE_ALLE
35,OIKOPLEURA_VANHOEFFENI,ALLE_ALLE
36,OITHONA_SIMILIS,ALLE_ALLE
37,OITHONA_SPINIROSTRIS/ATLANTICA,ALLE_ALLE
38,ONCAEA_BOREALIS,ALLE_ALLE
39,PAREUCHAETA_NORVEGICA,ALLE_ALLE
40,PAREUCHAETA_SPP,ALLE_ALLE
41,PSEUDOCALANUS_SPP,ALLE_ALLE
42,SABINEA_SP,ALLE_ALLE
43,SAGITTA_ELEGANS,ALLE_ALLE
44,THEMISTO_ABYSSORUM,ALLE_ALLE
45,THEMISTO_LIBELLULA,ALLE_ALLE
46,THYSANOESSA_INERMIS,ALLE_ALLE
47,THYSANOESSA_LONGICAUDATA,ALLE_ALLE
48,THYSANOESSA_RASCHII,ALLE_ALLE
49,CLUPEA_HARENGUS,AMBLYRAJA_HYPERBOREA
50,COTTUNCULUS_MICROPS,AMBLYRAJA_HYPERBOREA
51,GADUS_MORHUA,AMBLYRAJA_HYPERBOREA
