	Predator	Prey
1	3	1
2	7	1
3	47	1
4	95	1
5	143	1
6	144	1
7	145	1
8	146	1
9	147	1
10	150	1
11	194	1
12	198	1
13	208	1
14	221	1
15	164	2
16	214	2
17	217	2
18	219	2
19	7	3
20	7	4
21	7	5
22	7	6
23	143	6
24	145	6
25	150	6
26	48	7
27	49	7
28	147	7
29	7	8
30	147	8
31	164	8
32	217	8
33	219	8
34	1	9
35	3	9
36	7	9
37	30	9
38	167	9
39	211	9
40	221	9
41	2	10
42	3	10
43	5	10
44	7	10
45	8	10
46	16	10
47	17	10
48	18	10
49	25	10
50	28	10
51	29	10
52	30	10
53	34	10
54	37	10
55	38	10
56	39	10
57	44	10
58	45	10
59	83	10
60	84	10
61	93	10
62	131	10
63	140	10
64	142	10
65	143	10
66	144	10
67	145	10
68	147	10
69	148	10
70	149	10
71	150	10
72	156	10
73	157	10
74	161	10
75	163	10
76	164	10
77	165	10
78	166	10
79	167	10
80	171	10
81	190	10
82	196	10
83	208	10
84	209	10
85	221	10
86	238	10
87	1	11
88	2	11
89	8	11
90	16	11
91	17	11
92	18	11
93	25	11
94	28	11
95	29	11
96	30	11
97	34	11
98	38	11
99	39	11
100	44	11
101	45	11
102	83	11
103	84	11
104	93	11
105	131	11
106	140	11
107	142	11
108	144	11
109	145	11
110	147	11
111	148	11
112	149	11
113	150	11
114	157	11
115	161	11
116	163	11
117	164	11
118	165	11
119	166	11
120	168	11
121	171	11
122	190	11
123	194	11
124	196	11
125	198	11
126	208	11
127	221	11
128	237	11
129	238	11
130	16	12
131	17	12
132	18	12
133	1	13
134	2	13
135	8	13
136	16	13
137	17	13
138	18	13
139	25	13
140	28	13
141	29	13
142	30	13
143	34	13
144	38	13
145	39	13
146	44	13
147	45	13
148	83	13
149	84	13
150	93	13
151	131	13
152	140	13
153	142	13
154	143	13
155	144	13
156	145	13
157	147	13
158	148	13
159	149	13
160	150	13
161	157	13
162	161	13
163	163	13
164	164	13
165	165	13
166	166	13
167	171	13
168	190	13
169	193	13
170	194	13
171	196	13
172	197	13
173	198	13
174	202	13
175	207	13
176	208	13
177	221	13
178	237	13
179	238	13
180	2	14
181	7	14
182	8	14
183	25	14
184	28	14
185	29	14
186	30	14
187	37	14
188	38	14
189	39	14
190	83	14
191	84	14
192	148	14
193	208	14
194	221	14
195	1	15
196	2	15
197	3	15
198	7	15
199	30	15
200	38	15
201	39	15
202	44	15
203	45	15
204	140	15
205	150	15
206	161	15
207	168	15
208	194	15
209	202	15
210	208	15
211	221	15
212	208	16
213	140	17
214	143	17
215	147	17
216	150	17
217	161	17
218	208	17
219	221	17
220	147	18
221	161	18
222	190	18
223	208	18
224	221	18
225	1	19
226	2	19
227	8	19
228	16	19
229	17	19
230	18	19
231	25	19
232	28	19
233	29	19
234	30	19
235	38	19
236	39	19
237	44	19
238	45	19
239	83	19
240	84	19
241	131	19
242	143	19
243	144	19
244	148	19
245	149	19
246	150	19
247	161	19
248	190	19
249	193	19
250	202	19
251	208	19
252	214	19
253	221	19
254	234	19
255	16	20
256	17	20
257	18	20
258	143	20
259	211	20
260	1	21
261	2	21
262	3	21
263	5	21
264	7	21
265	8	21
266	25	21
267	28	21
268	29	21
269	30	21
270	37	21
271	38	21
272	39	21
273	44	21
274	45	21
275	83	21
276	84	21
277	131	21
278	148	21
279	149	21
280	150	21
281	161	21
282	163	21
283	208	21
284	221	21
285	7	22
286	37	22
287	168	22
288	221	22
289	5	23
290	7	23
291	37	23
292	161	23
293	168	23
294	202	23
295	211	23
296	221	23
297	44	24
298	45	24
299	142	24
300	145	24
301	150	24
302	156	24
303	167	24
304	196	24
305	200	24
306	208	24
307	221	24
308	229	24
309	25	25
310	44	25
311	45	25
312	142	25
313	145	25
314	150	25
315	187	25
316	189	25
317	195	25
318	200	25
319	201	25
320	208	25
321	221	25
322	231	25
323	232	25
324	233	25
325	234	25
326	44	26
327	45	26
328	142	26
329	145	26
330	150	26
331	200	26
332	208	26
333	229	26
334	234	26
335	44	27
336	45	27
337	142	27
338	145	27
339	150	27
340	200	27
341	208	27
342	229	27
343	97	28
344	131	28
345	142	28
346	144	28
347	145	28
348	147	28
349	149	28
350	150	28
351	153	28
352	161	28
353	167	28
354	179	28
355	181	28
356	189	28
357	192	28
358	197	28
359	199	28
360	201	28
361	203	28
362	205	28
363	208	28
364	213	28
365	214	28
366	221	28
367	231	28
368	236	28
369	237	28
370	238	28
371	7	29
372	97	29
373	131	29
374	142	29
375	144	29
376	145	29
377	147	29
378	149	29
379	153	29
380	161	29
381	167	29
382	175	29
383	179	29
384	181	29
385	188	29
386	189	29
387	190	29
388	192	29
389	196	29
390	197	29
391	198	29
392	199	29
393	200	29
394	201	29
395	203	29
396	205	29
397	208	29
398	213	29
399	221	29
400	231	29
401	232	29
402	233	29
403	234	29
404	236	29
405	237	29
406	238	29
407	112	30
408	140	30
409	142	30
410	143	30
411	144	30
412	145	30
413	147	30
414	148	30
415	149	30
416	150	30
417	153	30
418	156	30
419	160	30
420	165	30
421	166	30
422	167	30
423	174	30
424	179	30
425	180	30
426	187	30
427	188	30
428	201	30
429	207	30
430	208	30
431	212	30
432	214	30
433	221	30
434	228	30
435	236	30
436	237	30
437	238	30
438	243	30
439	211	31
440	218	31
441	188	32
442	228	32
443	97	33
444	131	33
445	142	33
446	143	33
447	144	33
448	145	33
449	146	33
450	147	33
451	149	33
452	150	33
453	153	33
454	154	33
455	156	33
456	161	33
457	165	33
458	166	33
459	167	33
460	175	33
461	179	33
462	180	33
463	181	33
464	189	33
465	190	33
466	194	33
467	196	33
468	198	33
469	199	33
470	201	33
471	207	33
472	208	33
473	212	33
474	213	33
475	214	33
476	216	33
477	221	33
478	228	33
479	231	33
480	233	33
481	234	33
482	236	33
483	237	33
484	238	33
485	243	33
486	131	34
487	140	34
488	142	34
489	144	34
490	146	34
491	147	34
492	148	34
493	149	34
494	153	34
495	154	34
496	165	34
497	166	34
498	167	34
499	171	34
500	179	34
501	180	34
502	189	34
503	190	34
504	207	34
505	208	34
506	213	34
507	214	34
508	216	34
509	221	34
510	228	34
511	231	34
512	233	34
513	234	34
514	236	34
515	237	34
516	238	34
517	243	34
518	131	35
519	142	35
520	144	35
521	146	35
522	147	35
523	148	35
524	149	35
525	150	35
526	153	35
527	155	35
528	156	35
529	161	35
530	165	35
531	166	35
532	167	35
533	171	35
534	179	35
535	181	35
536	193	35
537	207	35
538	208	35
539	214	35
540	216	35
541	221	35
542	228	35
543	231	35
544	233	35
545	234	35
546	236	35
547	237	35
548	238	35
549	243	35
550	7	37
551	145	37
552	164	37
553	208	37
554	145	38
555	164	38
556	207	38
557	208	38
558	217	38
559	219	38
560	7	39
561	37	39
562	145	39
563	164	39
564	208	39
565	217	39
566	219	39
567	12	40
568	30	40
569	56	40
570	59	40
571	61	40
572	66	40
573	68	40
574	70	40
575	71	40
576	73	40
577	95	40
578	96	40
579	97	40
580	105	40
581	109	40
582	110	40
583	111	40
584	124	40
585	128	40
586	137	40
587	24	41
588	46	41
589	76	41
590	78	41
591	108	41
592	111	41
593	30	42
594	109	42
595	1	43
596	140	43
597	167	43
598	208	43
599	221	43
600	236	43
601	237	43
602	1	44
603	43	44
604	147	44
605	208	44
606	221	44
607	1	45
608	140	45
609	147	45
610	167	45
611	208	45
612	221	45
613	5	46
614	14	46
615	15	46
616	24	46
617	25	46
618	26	46
619	27	46
620	30	46
621	51	46
622	52	46
623	53	46
624	54	46
625	55	46
626	56	46
627	57	46
628	59	46
629	61	46
630	62	46
631	63	46
632	64	46
633	65	46
634	66	46
635	67	46
636	68	46
637	69	46
638	70	46
639	72	46
640	73	46
641	74	46
642	78	46
643	81	46
644	91	46
645	93	46
646	95	46
647	96	46
648	97	46
649	98	46
650	99	46
651	103	46
652	105	46
653	109	46
654	110	46
655	111	46
656	113	46
657	114	46
658	115	46
659	116	46
660	117	46
661	118	46
662	120	46
663	121	46
664	123	46
665	125	46
666	126	46
667	128	46
668	135	46
669	137	46
670	171	46
671	175	46
672	178	46
673	215	46
674	7	47
675	221	47
676	7	48
677	208	48
678	221	48
679	1	49
680	7	49
681	140	49
682	147	49
683	160	49
684	161	49
685	208	49
686	221	49
687	28	50
688	193	50
689	208	50
690	221	50
691	78	51
692	53	53
693	61	53
694	62	53
695	78	53
696	144	53
697	150	53
698	160	53
699	183	53
700	184	53
701	187	53
702	220	53
703	53	54
704	78	54
705	145	54
706	78	55
707	62	56
708	78	56
709	78	57
710	144	57
711	145	57
712	61	58
713	62	58
714	72	58
715	76	58
716	118	58
717	132	58
718	144	58
719	145	58
720	146	58
721	153	58
722	156	58
723	169	58
724	173	58
725	175	58
726	177	58
727	178	58
728	182	58
729	183	58
730	185	58
731	186	58
732	187	58
733	190	58
734	194	58
735	195	58
736	197	58
737	198	58
738	203	58
739	206	58
740	213	58
741	217	58
742	78	59
743	160	59
744	193	59
745	232	59
746	233	59
747	145	60
748	151	60
749	61	61
750	62	61
751	78	61
752	118	61
753	190	61
754	198	61
755	232	61
756	78	62
757	118	62
758	78	63
759	61	64
760	78	64
761	78	65
762	178	65
763	193	65
764	78	66
765	145	66
766	53	67
767	78	67
768	145	67
769	78	68
770	78	69
771	145	69
772	53	70
773	69	70
774	78	70
775	144	71
776	183	71
777	193	71
778	144	72
779	206	72
780	214	72
781	72	73
782	78	73
783	165	74
784	194	74
785	198	74
786	200	74
787	217	74
788	145	75
789	144	76
790	145	76
791	186	76
792	208	76
793	145	77
794	183	77
795	214	78
796	216	78
797	76	79
798	132	80
799	144	80
800	145	80
801	151	80
802	194	80
803	208	80
804	132	81
805	145	81
806	151	81
807	208	81
808	61	82
809	76	82
810	113	82
811	118	82
812	144	82
813	146	82
814	147	82
815	150	82
816	167	82
817	169	82
818	171	82
819	172	82
820	173	82
821	174	82
822	175	82
823	178	82
824	182	82
825	183	82
826	190	82
827	208	82
828	145	83
829	150	83
830	214	83
831	145	84
832	164	84
833	165	84
834	166	84
835	216	84
836	221	84
837	232	84
838	233	84
839	234	84
840	132	85
841	146	85
842	182	85
843	199	85
844	145	86
845	145	87
846	151	88
847	214	89
848	118	90
849	144	90
850	145	90
851	208	90
852	214	90
853	217	90
854	78	92
855	144	92
856	145	92
857	164	92
858	165	92
859	166	92
860	183	92
861	185	92
862	214	92
863	232	92
864	144	93
865	145	93
866	147	93
867	148	93
868	149	93
869	150	93
870	151	93
871	152	93
872	154	93
873	156	93
874	164	93
875	165	93
876	166	93
877	167	93
878	180	93
879	181	93
880	183	93
881	184	93
882	185	93
883	187	93
884	188	93
885	196	93
886	201	93
887	207	93
888	208	93
889	209	93
890	213	93
891	214	93
892	215	93
893	216	93
894	217	93
895	231	93
896	232	93
897	233	93
898	234	93
899	239	93
900	242	93
901	243	93
902	145	94
903	153	95
904	167	95
905	78	96
906	144	97
907	145	97
908	150	97
909	78	98
910	100	98
911	104	98
912	144	98
913	145	98
914	165	98
915	172	98
916	185	98
917	187	98
918	225	98
