,PREDATOR,PREY
1,bacteria,phytoplankton
2,benthic_carnivores,benthic_filter-feeders
3,microzooplankton,phytoplankton
4,microzooplankton,bacteria
5,microzooplankton,microzooplankton
6,mesozooplankton,phytoplankton
7,mesozooplankton,microzooplankton
8,macrozooplankton,phytoplankton
9,macrozooplankton,mesozooplankton
10,gelatinous_zooplankton,phytoplankton
11,gelatinous_zooplankton,bacteria
12,gelatinous_zooplankton,microzooplankton
13,gelatinous_zooplankton,mesozooplankton
14,anchovy,phytoplankton
15,anchovy,microzooplankton
16,anchovy,mesozooplankton
17,anchovy,macrozooplankton
18,pilchard,phytoplankton
19,pilchard,mesozooplankton
20,pilchard,macrozooplankton
21,round_herring,mesozooplankton
22,round_herring,macrozooplankton
23,lightfish,mesozooplankton
24,lightfish,macrozooplankton
25,lanternfish,mesozooplankton
26,lanternfish,macrozooplankton
27,goby,phytoplankton
28,goby,microzooplankton
29,goby,mesozooplankton
30,goby,macrozooplankton
31,other_pelagics,benthic_carnivores
32,other_pelagics,mesozooplankton
33,other_pelagics,macrozooplankton
34,other_pelagics,gelatinous_zooplankton
35,horse_mackerel,benthic_carnivores
36,horse_mackerel,mesozooplankton
37,horse_mackerel,macrozooplankton
38,horse_mackerel,lanternfish
39,chub_mackerel,benthic_carnivores
40,chub_mackerel,mesozooplankton
41,chub_mackerel,macrozooplankton
42,chub_mackerel,anchovy
43,chub_mackerel,round_herring
44,chub_mackerel,lanternfish
45,other_groundfish,benthic_carnivores
46,other_groundfish,mesozooplankton
47,other_groundfish,macrozooplankton
48,other_groundfish,anchovy
49,other_groundfish,round_herring
50,other_groundfish,lightfish
51,other_groundfish,lanternfish
52,other_groundfish,goby
53,other_groundfish,other_pelagics
54,other_groundfish,other_groundfish
55,other_groundfish,hakes
56,other_groundfish,squid
57,hakes,mesozooplankton
58,hakes,macrozooplankton
59,hakes,anchovy
60,hakes,pilchard
61,hakes,round_herring
62,hakes,lightfish
63,hakes,lanternfish
64,hakes,goby
65,hakes,horse_mackerel
66,hakes,chub_mackerel
67,hakes,other_groundfish
68,hakes,hakes
69,hakes,squid
70,squid,benthic_carnivores
71,squid,macrozooplankton
72,squid,anchovy
73,squid,pilchard
74,squid,round_herring
75,squid,lightfish
76,squid,goby
77,squid,horse_mackerel
78,squid,other_groundfish
79,squid,hakes
80,squid,squid
81,tunas,benthic_carnivores
82,tunas,anchovy
83,tunas,pilchard
84,tunas,round_herring
85,tunas,lightfish
86,tunas,lanternfish
87,tunas,goby
88,tunas,other_pelagics
89,tunas,horse_mackerel
90,tunas,chub_mackerel
91,tunas,hakes
92,tunas,squid
93,snoek,benthic_carnivores
94,snoek,macrozooplankton
95,snoek,anchovy
96,snoek,pilchard
97,snoek,round_herring
98,snoek,lightfish
99,snoek,lanternfish
100,snoek,goby
101,snoek,horse_mackerel
102,snoek,hakes
103,snoek,squid
104,kob,benthic_carnivores
105,kob,macrozooplankton
106,kob,anchovy
107,kob,pilchard
108,kob,goby
109,kob,horse_mackerel
110,kob,chub_mackerel
111,kob,other_groundfish
112,kob,hakes
113,kob,squid
114,kob,kob
115,yellowtail,macrozooplankton
116,yellowtail,anchovy
117,yellowtail,pilchard
118,yellowtail,round_herring
119,yellowtail,goby
120,yellowtail,other_pelagics
121,yellowtail,horse_mackerel
122,yellowtail,chub_mackerel
123,yellowtail,other_groundfish
124,yellowtail,squid
125,geelbek,benthic_carnivores
126,geelbek,anchovy
127,geelbek,pilchard
128,geelbek,round_herring
129,geelbek,goby
130,geelbek,other_pelagics
131,geelbek,horse_mackerel
132,geelbek,other_groundfish
133,geelbek,hakes
134,geelbek,squid
135,whales_&_dolphins,macrozooplankton
136,whales_&_dolphins,anchovy
137,whales_&_dolphins,pilchard
138,whales_&_dolphins,round_herring
139,whales_&_dolphins,lanternfish
140,whales_&_dolphins,goby
141,whales_&_dolphins,other_pelagics
142,whales_&_dolphins,horse_mackerel
143,whales_&_dolphins,hakes
144,whales_&_dolphins,squid
145,birds,benthic_carnivores
146,birds,mesozooplankton
147,birds,macrozooplankton
148,birds,anchovy
149,birds,pilchard
150,birds,round_herring
151,birds,lightfish
152,birds,lanternfish
153,birds,goby
154,birds,other_pelagics
155,birds,horse_mackerel
156,birds,chub_mackerel
157,birds,other_groundfish
158,birds,hakes
159,birds,squid
160,birds,snoek
161,birds,birds
162,birds,seals
163,seals,benthic_carnivores
164,seals,anchovy
165,seals,pilchard
166,seals,round_herring
167,seals,lightfish
168,seals,lanternfish
169,seals,goby
170,seals,other_pelagics
171,seals,horse_mackerel
172,seals,chub_mackerel
173,seals,other_groundfish
174,seals,hakes
175,seals,squid
176,seals,snoek
177,seals,birds
178,seals,sharks
179,sharks,benthic_carnivores
180,sharks,mesozooplankton
181,sharks,macrozooplankton
182,sharks,gelatinous_zooplankton
183,sharks,anchovy
184,sharks,pilchard
185,sharks,round_herring
186,sharks,lightfish
187,sharks,lanternfish
188,sharks,goby
189,sharks,other_pelagics
190,sharks,horse_mackerel
191,sharks,chub_mackerel
192,sharks,other_groundfish
193,sharks,hakes
194,sharks,squid
195,sharks,tunas
196,sharks,snoek
197,sharks,kob
198,sharks,yellowtail
199,sharks,geelbek
200,sharks,whales_&_dolphins
201,sharks,birds
202,sharks,seals
203,sharks,sharks
