	Predator	Prey 
1	3	1
2	5	1
3	6	1
4	7	1
5	8	1
6	9	1
7	10	1
8	14	1
9	4	2
10	5	3
11	8	3
12	15	4
13	16	4
14	17	4
15	18	4
16	20	4
17	21	4
18	22	4
19	23	4
20	25	4
21	27	4
22	28	4
23	29	4
24	5	5
25	6	5
26	8	5
27	9	5
28	14	5
29	7	6
30	8	6
31	9	6
32	10	6
33	11	6
34	12	6
35	13	6
36	14	6
37	15	6
38	16	6
39	17	6
40	18	6
41	19	6
42	27	6
43	29	6
44	9	7
45	10	7
46	11	7
47	12	7
48	13	7
49	14	7
50	15	7
51	16	7
52	17	7
53	18	7
54	19	7
55	20	7
56	22	7
57	23	7
58	24	7
59	26	7
60	27	7
61	29	7
62	15	8
63	29	8
64	17	9
65	18	9
66	19	9
67	20	9
68	21	9
69	22	9
70	23	9
71	24	9
72	25	9
73	26	9
74	27	9
75	28	9
76	29	9
77	19	10
78	20	10
79	21	10
80	22	10
81	23	10
82	24	10
83	25	10
84	26	10
85	27	10
86	28	10
87	29	10
88	17	11
89	18	11
90	19	11
91	20	11
92	21	11
93	22	11
94	24	11
95	25	11
96	26	11
97	27	11
98	28	11
99	29	11
100	18	12
101	19	12
102	20	12
103	21	12
104	22	12
105	27	12
106	28	12
107	29	12
108	16	13
109	17	13
110	18	13
111	19	13
112	21	13
113	22	13
114	26	13
115	27	13
116	28	13
117	29	13
118	18	14
119	19	14
120	20	14
121	21	14
122	22	14
123	23	14
124	24	14
125	25	14
126	26	14
127	27	14
128	28	14
129	29	14
130	18	15
131	21	15
132	24	15
133	25	15
134	26	15
135	27	15
136	28	15
137	29	15
138	19	16
139	20	16
140	21	16
141	22	16
142	23	16
143	24	16
144	25	16
145	26	16
146	27	16
147	28	16
148	29	16
149	19	17
150	21	17
151	23	17
152	24	17
153	27	17
154	28	17
155	29	17
156	18	18
157	19	18
158	20	18
159	23	18
160	24	18
161	25	18
162	27	18
163	28	18
164	29	18
165	18	19
166	19	19
167	20	19
168	21	19
169	22	19
170	23	19
171	25	19
172	26	19
173	27	19
174	28	19
175	29	19
176	18	20
177	19	20
178	20	20
179	21	20
180	22	20
181	23	20
182	24	20
183	25	20
184	26	20
185	27	20
186	28	20
187	29	20
188	29	21
189	27	22
190	28	22
191	29	22
192	23	23
193	29	23
194	29	24
195	29	25
196	29	26
197	27	27
198	28	27
199	29	27
200	27	28
201	29	28
202	28	29
203	29	29
