,PREDATOR,PREY
1,Zooplankton,Phytoplankton
2,Zooplankton,Microfauna
3,Microfauna,Detritus
4,Sponges,Detritus
5,Hydrozoans,Detritus
6,Hydrozoans,Symbiotic_algae
7,Hydrozoans,Zooplankton
8,Hydrozoans,Microfauna
9,Sea_Fan,Detritus
10,Sea_Fan,Symbiotic_algae
11,Sea_Fan,Zooplankton
12,Sea_Fan,Microfauna
13,Sea_anemones,Detritus
14,Sea_anemones,Zooplankton
15,Sea_anemones,Microfauna
16,Stony_corals,Detritus
17,Stony_corals,Symbiotic_algae
18,Stony_corals,Zooplankton
19,Stony_corals,Microfauna
20,Bryozoans,Detritus
21,Bryozoans,Phytoplankton
22,Bryozoans,Zooplankton
23,Bryozoans,Microfauna
24,Bryozoans,Polychaetes
25,Sipunculid_worms,Detritus
26,Sipunculid_worms,Benthic_algae
27,Sipunculid_worms,Microfauna
28,Priapuloids,Polychaetes
29,Chitons,Benthic_algae
30,Chitons,Microfauna
31,Chitons,Sponges
32,Chitons,Hydrozoans
33,Chitons,Bryozoans
34,Chitons,Barnacles
35,Gastropoda,Detritus
36,Gastropoda,Benthic_algae
37,Gastropoda,Microfauna
38,Gastropoda,Sponges
39,Gastropoda,Hydrozoans
40,Gastropoda,Sea_Fan
41,Gastropoda,Sea_anemones
42,Gastropoda,Stony_corals
43,Gastropoda,Chitons
44,Gastropoda,Gastropoda
45,Gastropoda,Bivalvia
46,Gastropoda,Scaphopoda
47,Gastropoda,Polychaetes
48,Gastropoda,Barnacles
49,Gastropoda,Stomatopods
50,Gastropoda,Amphipoda
51,Gastropoda,Tanaids
52,Gastropoda,Isopoda
53,Gastropoda,Shrimps
54,Gastropoda,Spiny_Lobsters
55,Gastropoda,Scyllarid_Lobsters
56,Gastropoda,Hermit_crabs
57,Gastropoda,Crabs
58,Gastropoda,Hemichordates
59,Gastropoda,Tunicates
60,Bivalvia,Detritus
61,Bivalvia,Phytoplankton
62,Bivalvia,Microfauna
63,Scaphopoda,Microfauna
64,Squids,Zooplankton
65,Squids,Squids
66,Squids,Shrimps
67,Octopuses,Chitons
68,Octopuses,Gastropoda
69,Octopuses,Bivalvia
70,Octopuses,Octopuses
71,Octopuses,Polychaetes
72,Octopuses,Shrimps
73,Octopuses,Hermit_crabs
74,Octopuses,Crabs
75,Polychaetes,Detritus
76,Polychaetes,Benthic_algae
77,Polychaetes,Phytoplankton
78,Polychaetes,Zooplankton
79,Polychaetes,Microfauna
80,Polychaetes,Sponges
81,Polychaetes,Hydrozoans
82,Polychaetes,Sea_Fan
83,Polychaetes,Sea_anemones
84,Polychaetes,Stony_corals
85,Polychaetes,Bryozoans
86,Polychaetes,Gastropoda
87,Polychaetes,Bivalvia
88,Polychaetes,Polychaetes
89,Polychaetes,Amphipoda
90,Polychaetes,Ophiuroids
91,Polychaetes,Tunicates
92,Echiuroids,Detritus
93,Echiuroids,Benthic_algae
94,Echiuroids,Microfauna
95,Pycnogonids,Benthic_algae
96,Pycnogonids,Zooplankton
97,Pycnogonids,Sponges
98,Pycnogonids,Hydrozoans
99,Pycnogonids,Sea_Fan
100,Pycnogonids,Sea_anemones
101,Pycnogonids,Bryozoans
102,Barnacles,Phytoplankton
103,Barnacles,Zooplankton
104,Barnacles,Microfauna
105,Stomatopods,Zooplankton
106,Stomatopods,Gastropoda
107,Stomatopods,Bivalvia
108,Stomatopods,Squids
109,Stomatopods,Polychaetes
110,Stomatopods,Amphipoda
111,Stomatopods,Tanaids
112,Stomatopods,Isopoda
113,Stomatopods,Shrimps
114,Stomatopods,Asteroids
115,Stomatopods,Ophiuroids
116,Stomatopods,Echinoids
117,Stomatopods,Holothurians
118,Amphipoda,Detritus
119,Amphipoda,Benthic_algae
120,Amphipoda,Zooplankton
121,Amphipoda,Microfauna
122,Tanaids,Benthic_algae
123,Tanaids,Microfauna
124,Isopoda,Detritus
125,Shrimps,Detritus
126,Shrimps,Benthic_algae
127,Shrimps,Zooplankton
128,Shrimps,Microfauna
129,Shrimps,Gastropoda
130,Shrimps,Bivalvia
131,Shrimps,Scaphopoda
132,Shrimps,Octopuses
133,Shrimps,Polychaetes
134,Shrimps,Stomatopods
135,Shrimps,Amphipoda
136,Shrimps,Tanaids
137,Shrimps,Isopoda
138,Shrimps,Shrimps
139,Shrimps,Spiny_Lobsters
140,Shrimps,Scyllarid_Lobsters
141,Shrimps,Hermit_crabs
142,Shrimps,Crabs
143,Shrimps,Ophiuroids
144,Spiny_Lobsters,Benthic_algae
145,Spiny_Lobsters,Gastropoda
146,Spiny_Lobsters,Bivalvia
147,Scyllarid_Lobsters,Detritus
148,Scyllarid_Lobsters,Bivalvia
149,Scyllarid_Lobsters,Polychaetes
150,Hermit_crabs,Detritus
151,Hermit_crabs,Phytoplankton
152,Hermit_crabs,Zooplankton
153,Hermit_crabs,Microfauna
154,Hermit_crabs,Bivalvia
155,Crabs,Detritus
156,Crabs,Benthic_algae
157,Crabs,Phytoplankton
158,Crabs,Zooplankton
159,Crabs,Microfauna
160,Crabs,Sponges
161,Crabs,Stony_corals
162,Crabs,Sipunculid_worms
163,Crabs,Gastropoda
164,Crabs,Bivalvia
165,Crabs,Polychaetes
166,Crabs,Barnacles
167,Crabs,Amphipoda
168,Crabs,Hermit_crabs
169,Crabs,Crabs
170,Crabs,Ophiuroids
171,Crabs,Echinoids
172,Hemichordates,Detritus
173,Hemichordates,Phytoplankton
174,Hemichordates,Microfauna
175,Asteroids,Detritus
176,Asteroids,Benthic_algae
177,Asteroids,Microfauna
178,Asteroids,Sponges
179,Asteroids,Sea_Fan
180,Asteroids,Sea_anemones
181,Asteroids,Stony_corals
182,Asteroids,Gastropoda
183,Asteroids,Bivalvia
184,Asteroids,Scaphopoda
185,Asteroids,Polychaetes
186,Asteroids,Crabs
187,Asteroids,Asteroids
188,Asteroids,Ophiuroids
189,Asteroids,Echinoids
190,Asteroids,Holothurians
191,Asteroids,Tunicates
192,Ophiuroids,Detritus
193,Ophiuroids,Phytoplankton
194,Ophiuroids,Zooplankton
195,Ophiuroids,Microfauna
196,Echinoids,Benthic_algae
197,Echinoids,Sponges
198,Echinoids,Stony_corals
199,Echinoids,Bivalvia
200,Echinoids,Asteroids
201,Echinoids,Ophiuroids
202,Echinoids,Echinoids
203,Echinoids,Holothurians
204,Holothurians,Detritus
205,Holothurians,Benthic_algae
206,Holothurians,Microfauna
207,Tunicates,Detritus
208,Tunicates,Phytoplankton
209,Tunicates,Zooplankton
210,Tunicates,Microfauna
211,Sea_Turtles,Benthic_algae
212,Sea_Turtles,Sponges
213,Sea_Turtles,Stony_corals
214,Sea_Turtles,Gastropoda
215,Sea_Turtles,Bivalvia
216,Sea_Turtles,Barnacles
217,Sea_Turtles,Stomatopods
218,Sea_Turtles,Spiny_Lobsters
219,Sea_Turtles,Hermit_crabs
220,Sea_Turtles,Crabs
221,Sea_Turtles,Asteroids
222,Sea_Turtles,Echinoids
223,Sea_Birds,Zooplankton
224,Acanthurus_bahianus,Detritus
225,Acanthurus_bahianus,Benthic_algae
226,Acanthurus_chirugus,Detritus
227,Acanthurus_chirugus,Benthic_algae
228,Acanthurus_chirugus,Gastropoda
229,Acanthurus_chirugus,Polychaetes
230,Acanthurus_coeruleus,Detritus
231,Acanthurus_coeruleus,Benthic_algae
232,Acanthurus_coeruleus,Symbiotic_algae
233,Acanthurus_coeruleus,Microfauna
234,Antennarius_multiocellatus,Stomatopods
235,Antennarius_multiocellatus,Crabs
236,Antennarius_multiocellatus,Haemulon_carbonarium
237,Antennarius_striatus,Scorpaena_inermis
238,Phaeoptyx_conklini,Microfauna
239,Phaeoptyx_conklini,Polychaetes
240,Phaeoptyx_conklini,Amphipoda
241,Phaeoptyx_conklini,Tanaids
242,Phaeoptyx_conklini,Isopoda
243,Phaeoptyx_maculatus,Microfauna
244,Phaeoptyx_maculatus,Polychaetes
245,Phaeoptyx_maculatus,Amphipoda
246,Phaeoptyx_maculatus,Isopoda
247,Phaeoptyx_maculatus,Shrimps
248,Phaeoptyx_maculatus,Crabs
249,Hypoatherina_harringtonensis,Microfauna
250,Atherinomorus_stipes,Zooplankton
251,Atherinomorus_stipes,Microfauna
252,Atherinomorus_stipes,Barnacles
253,Aulostomus_maculatus,Shrimps
254,Aulostomus_maculatus,Acanthurus_bahianus
255,Aulostomus_maculatus,Acanthurus_chirugus
256,Aulostomus_maculatus,Acanthurus_coeruleus
257,Aulostomus_maculatus,Phaeoptyx_conklini
258,Aulostomus_maculatus,Phaeoptyx_maculatus
259,Aulostomus_maculatus,Entomacrodus_nigricans
260,Aulostomus_maculatus,Ophioblennius_atlanticus
261,Aulostomus_maculatus,Parablennius_marmoreus
262,Aulostomus_maculatus,Scartella_cristata
263,Aulostomus_maculatus,Labrisomus_guppyi_
264,Aulostomus_maculatus,Labrisomus_nuchipinnis
265,Aulostomus_maculatus,Anchoa_hepsetus
266,Aulostomus_maculatus,Anocha_lyolepis
267,Aulostomus_maculatus,Coryphopterus_glaucofraenum
268,Aulostomus_maculatus,Gnatholepis_thompsoni
269,Aulostomus_maculatus,Elacatinus_evelynae
270,Aulostomus_maculatus,Haemulon_aurolineatum
271,Aulostomus_maculatus,Haemulon_flavolineatum
272,Aulostomus_maculatus,Holocentrus_coruscus
273,Aulostomus_maculatus,Holocentrus_rufus
274,Aulostomus_maculatus,Myripristis_jacobus
275,Aulostomus_maculatus,Thalassoma_bifasciatum
276,Aulostomus_maculatus,Pseudupeneus_maculatus
277,Aulostomus_maculatus,Chromis_cyanea
278,Aulostomus_maculatus,Stegastes_fuscus
279,Aulostomus_maculatus,Stegastes_leucostictus
280,Aulostomus_maculatus,Stegastes_planifrons
281,Aulostomus_maculatus,Stegastes_variabillis
282,Balistes_vetula,Benthic_algae
283,Balistes_vetula,Symbiotic_algae
284,Balistes_vetula,Stony_corals
285,Balistes_vetula,Sipunculid_worms
286,Balistes_vetula,Chitons
287,Balistes_vetula,Gastropoda
288,Balistes_vetula,Bivalvia
289,Balistes_vetula,Polychaetes
290,Balistes_vetula,Stomatopods
291,Balistes_vetula,Shrimps
292,Balistes_vetula,Scyllarid_Lobsters
293,Balistes_vetula,Hermit_crabs
294,Balistes_vetula,Crabs
295,Balistes_vetula,Asteroids
296,Balistes_vetula,Ophiuroids
297,Balistes_vetula,Echinoids
298,Balistes_vetula,Tunicates
299,Canthidermis_sufflamen,Benthic_algae
300,Canthidermis_sufflamen,Microfauna
301,Canthidermis_sufflamen,Amphipoda
302,Canthidermis_sufflamen,Echinoids
303,Melichthys_niger,Benthic_algae
304,Melichthys_niger,Symbiotic_algae
305,Melichthys_niger,Zooplankton
306,Melichthys_niger,Microfauna
307,Melichthys_niger,Stony_corals
308,Melichthys_niger,Shrimps
309,Melichthys_niger,Hermit_crabs
310,Melichthys_niger,Crabs
311,Platybelone_argalus_argalus,Microfauna
312,Platybelone_argalus_argalus,Jenkinsia_lamprotaenia
313,Strongylura_timucu,Shrimps
314,Strongylura_timucu,Jenkinsia_lamprotaenia
315,Strongylura_timucu,Anchoa_hepsetus
316,Strongylura_timucu,Anocha_lyolepis
317,Tylosurus_acus_acus,Microfauna
318,Tylosurus_acus_acus,Tylosurus_acus_acus
319,Tylosurus_acus_acus,Tylosurus_crocodilus_crocodilus
320,Tylosurus_acus_acus,Carangoides_bartholomaei
321,Tylosurus_acus_acus,Carangoides_latus
322,Tylosurus_acus_acus,Carangoides_ruber
323,Tylosurus_acus_acus,Parablennius_marmoreus
