	Predator	Prey
1	6	1
2	7	1
3	8	1
4	9	1
5	10	1
6	11	1
7	12	1
8	13	1
9	16	1
10	17	1
11	21	1
12	22	1
13	26	1
14	28	1
15	29	1
16	31	1
17	32	1
18	33	1
19	34	1
20	35	1
21	36	1
22	38	1
23	39	1
24	42	1
25	43	1
26	44	1
27	59	1
28	60	1
29	61	1
30	62	1
31	76	1
32	78	1
33	80	1
34	81	1
35	101	1
36	102	1
37	108	1
38	109	1
39	159	1
40	160	1
41	161	1
42	181	1
43	190	1
44	191	1
45	192	1
46	193	1
47	194	1
48	247	1
49	248	1
50	13	2
51	15	2
52	16	2
53	21	2
54	22	2
55	23	2
56	26	2
57	27	2
58	29	2
59	30	2
60	33	2
61	35	2
62	37	2
63	38	2
64	40	2
65	42	2
66	43	2
67	44	2
68	52	2
69	53	2
70	54	2
71	59	2
72	60	2
73	61	2
74	62	2
75	91	2
76	103	2
77	108	2
78	109	2
79	126	2
80	133	2
81	134	2
82	152	2
83	156	2
84	157	2
85	158	2
86	159	2
87	160	2
88	161	2
89	168	2
90	176	2
91	177	2
92	178	2
93	179	2
94	181	2
95	182	2
96	183	2
97	184	2
98	185	2
99	186	2
100	187	2
101	190	2
102	191	2
103	192	2
104	193	2
105	194	2
106	197	2
107	198	2
108	199	2
109	200	2
110	201	2
111	202	2
112	203	2
113	204	2
114	205	2
115	206	2
116	235	2
117	239	2
118	247	2
119	248	2
120	8	3
121	9	3
122	11	3
123	44	3
124	52	3
125	54	3
126	61	3
127	84	3
128	85	3
129	103	3
130	157	3
131	158	3
132	159	3
133	160	3
134	175	3
135	176	3
136	182	3
137	184	3
138	185	3
139	187	3
140	190	3
141	191	3
142	192	3
143	193	3
144	194	3
145	197	3
146	201	3
147	202	3
148	206	3
149	247	3
150	5	4
151	12	4
152	17	4
153	21	4
154	24	4
155	32	4
156	33	4
157	34	4
158	36	4
159	39	4
160	101	4
161	102	4
162	8	5
163	9	5
164	10	5
165	11	5
166	12	5
167	19	5
168	21	5
169	23	5
170	24	5
171	25	5
172	26	5
173	29	5
174	32	5
175	33	5
176	36	5
177	39	5
178	41	5
179	50	5
180	54	5
181	115	5
182	137	5
183	192	5
184	197	5
185	5	6
186	8	6
187	9	6
188	10	6
189	11	6
190	12	6
191	13	6
192	15	6
193	16	6
194	17	6
195	18	6
196	21	6
197	22	6
198	24	6
199	26	6
200	27	6
201	29	6
202	32	6
203	33	6
204	34	6
205	35	6
206	36	6
207	38	6
208	39	6
209	44	6
210	47	6
211	48	6
212	49	6
213	50	6
214	53	6
215	54	6
216	55	6
217	57	6
218	60	6
219	66	6
220	67	6
221	68	6
222	69	6
223	70	6
224	83	6
225	84	6
226	86	6
227	87	6
228	90	6
229	91	6
230	92	6
231	93	6
232	94	6
233	100	6
234	101	6
235	102	6
236	103	6
237	105	6
238	108	6
239	109	6
240	111	6
241	112	6
242	115	6
243	117	6
244	118	6
245	119	6
246	124	6
247	125	6
248	129	6
249	130	6
250	131	6
251	132	6
252	136	6
253	139	6
254	143	6
255	145	6
256	150	6
257	153	6
258	159	6
259	160	6
260	162	6
261	163	6
262	172	6
263	173	6
264	176	6
265	177	6
266	179	6
267	180	6
268	184	6
269	185	6
270	186	6
271	188	6
272	189	6
273	190	6
274	191	6
275	192	6
276	193	6
277	195	6
278	196	6
279	208	6
280	209	6
281	210	6
282	226	6
283	228	6
284	229	6
285	233	6
286	235	6
287	240	6
288	247	6
289	248	6
290	15	7
291	16	7
292	21	7
293	23	7
294	33	7
295	35	7
296	37	7
297	40	7
298	103	7
299	116	7
300	152	7
301	157	7
302	158	7
303	159	7
304	175	7
305	176	7
306	179	7
307	182	7
308	183	7
309	184	7
310	185	7
311	190	7
312	194	7
313	197	7
314	200	7
315	201	7
316	205	7
317	206	7
318	247	7
319	15	8
320	16	8
321	21	8
322	23	8
323	61	8
324	85	8
325	157	8
326	158	8
327	159	8
328	160	8
329	182	8
330	184	8
331	185	8
332	191	8
333	192	8
334	194	8
335	247	8
336	16	9
337	21	9
338	23	9
339	35	9
340	84	9
341	103	9
342	157	9
343	158	9
344	159	9
345	175	9
346	176	9
347	184	9
348	185	9
349	201	9
350	202	9
351	16	10
352	21	10
353	23	10
354	35	10
355	84	10
356	86	10
357	103	10
358	122	10
359	157	10
360	159	10
361	176	10
362	183	10
363	184	10
364	185	10
365	186	10
366	187	10
367	191	10
368	193	10
369	16	11
370	21	11
371	33	11
372	35	11
373	37	11
374	40	11
375	52	11
376	54	11
377	103	11
378	159	11
379	184	11
380	185	11
381	190	11
382	192	11
383	193	11
384	194	11
385	197	11
386	202	11
387	15	12
388	21	12
389	23	12
390	116	12
391	124	12
392	159	12
393	182	12
394	33	13
395	52	13
396	96	13
397	105	13
398	106	13
399	115	13
400	116	13
401	118	13
402	119	13
403	120	13
404	123	13
405	124	13
406	138	13
407	139	13
408	140	13
409	154	13
410	162	13
411	163	13
412	167	13
413	179	13
414	237	13
415	238	13
416	116	14
417	16	15
418	20	15
419	52	15
420	88	15
421	107	15
422	115	15
423	116	15
424	118	15
425	120	15
426	123	15
427	130	15
428	131	15
429	135	15
430	137	15
431	138	15
432	139	15
433	140	15
434	141	15
435	152	15
436	154	15
437	162	15
438	177	15
439	179	15
440	187	15
441	197	15
442	222	15
443	237	15
444	239	15
445	248	15
446	249	15
447	16	16
448	20	16
449	21	16
450	25	16
451	29	16
452	30	16
453	33	16
454	35	16
455	40	16
456	43	16
457	52	16
458	62	16
459	67	16
460	72	16
461	73	16
462	80	16
463	82	16
464	88	16
465	89	16
466	97	16
467	98	16
468	99	16
469	105	16
470	106	16
471	107	16
472	114	16
473	115	16
474	116	16
475	117	16
476	118	16
477	119	16
478	120	16
479	122	16
480	123	16
481	124	16
482	127	16
483	130	16
484	131	16
485	135	16
486	137	16
487	138	16
488	139	16
489	140	16
490	141	16
491	142	16
492	143	16
493	144	16
494	145	16
495	146	16
496	147	16
497	149	16
498	150	16
499	152	16
500	153	16
501	156	16
502	157	16
503	160	16
504	162	16
505	163	16
506	167	16
507	168	16
508	175	16
509	177	16
510	178	16
511	179	16
512	186	16
513	187	16
514	190	16
515	191	16
516	192	16
517	194	16
518	196	16
519	197	16
520	208	16
521	220	16
522	222	16
523	225	16
524	235	16
525	236	16
526	237	16
527	238	16
528	239	16
529	247	16
530	248	16
531	249	16
532	16	17
533	20	17
534	21	17
535	25	17
536	29	17
537	30	17
538	31	17
539	32	17
540	33	17
541	35	17
542	37	17
543	40	17
544	52	17
545	72	17
546	73	17
547	95	17
548	96	17
549	98	17
550	99	17
551	105	17
552	106	17
553	107	17
554	108	17
555	114	17
556	115	17
557	116	17
558	117	17
559	119	17
560	120	17
561	122	17
562	123	17
563	124	17
564	135	17
565	137	17
566	138	17
567	139	17
568	140	17
569	141	17
570	142	17
571	143	17
572	144	17
573	152	17
574	153	17
575	159	17
576	160	17
577	162	17
578	163	17
579	167	17
580	168	17
581	176	17
582	177	17
583	179	17
584	191	17
585	194	17
586	197	17
587	208	17
588	225	17
589	235	17
590	236	17
591	237	17
592	238	17
593	243	17
594	247	17
595	248	17
596	249	17
597	16	18
598	29	18
599	35	18
600	107	18
601	115	18
602	116	18
603	117	18
604	120	18
605	122	18
606	124	18
607	139	18
608	142	18
609	144	18
610	152	18
611	162	18
612	197	18
613	249	18
614	19	19
615	25	19
616	67	19
617	75	19
618	77	19
619	78	19
620	80	19
621	107	19
622	119	19
623	150	19
624	152	19
625	153	19
626	167	19
627	195	19
628	196	19
629	211	19
630	225	19
631	232	19
632	241	19
633	242	19
634	245	19
635	249	19
636	20	20
637	29	20
638	63	20
639	107	20
640	119	20
641	120	20
642	124	20
643	139	20
644	146	20
645	147	20
646	150	20
647	151	20
648	152	20
649	153	20
650	166	20
651	167	20
652	171	20
653	195	20
654	196	20
655	212	20
656	213	20
657	217	20
658	219	20
659	223	20
660	225	20
661	240	20
662	243	20
663	249	20
664	12	21
665	14	21
666	16	21
667	20	21
668	21	21
669	25	21
670	29	21
671	31	21
672	33	21
673	35	21
674	43	21
675	47	21
676	48	21
677	52	21
678	59	21
679	61	21
680	83	21
681	84	21
682	85	21
683	86	21
684	87	21
685	89	21
686	90	21
687	91	21
688	93	21
689	96	21
690	100	21
691	103	21
692	105	21
693	106	21
694	115	21
695	116	21
696	117	21
697	118	21
698	119	21
699	120	21
700	122	21
701	123	21
702	124	21
703	125	21
704	127	21
705	130	21
706	131	21
707	132	21
708	135	21
709	137	21
710	138	21
711	139	21
712	140	21
713	141	21
714	142	21
715	145	21
716	152	21
717	154	21
718	160	21
719	162	21
720	163	21
721	167	21
722	168	21
723	170	21
724	173	21
725	176	21
726	177	21
727	178	21
728	179	21
729	180	21
730	186	21
731	191	21
732	192	21
733	193	21
734	194	21
735	195	21
736	196	21
737	207	21
738	208	21
739	211	21
740	235	21
741	236	21
742	237	21
743	238	21
744	247	21
745	248	21
746	116	22
747	167	22
748	223	22
749	145	23
750	247	23
751	15	24
752	16	24
753	33	24
754	40	24
755	50	24
756	118	24
757	144	24
758	168	24
759	186	24
760	16	25
761	29	25
762	40	25
763	45	25
764	52	25
765	63	25
766	64	25
767	67	25
768	95	25
769	96	25
770	106	25
771	113	25
772	114	25
773	115	25
774	116	25
775	119	25
776	120	25
777	122	25
778	124	25
779	130	25
780	135	25
781	137	25
782	140	25
783	141	25
784	146	25
785	147	25
786	152	25
787	153	25
788	154	25
789	162	25
790	163	25
791	169	25
792	170	25
793	208	25
794	214	25
795	216	25
796	220	25
797	221	25
798	223	25
799	225	25
800	226	25
801	228	25
802	229	25
803	234	25
804	238	25
805	16	26
806	21	26
807	25	26
808	29	26
809	33	26
810	47	26
811	48	26
812	53	26
813	64	26
814	85	26
815	86	26
816	87	26
817	89	26
818	92	26
819	95	26
820	103	26
821	105	26
822	106	26
823	109	26
824	115	26
825	116	26
826	117	26
827	118	26
828	119	26
829	120	26
830	122	26
831	123	26
832	124	26
833	132	26
834	139	26
835	142	26
836	143	26
837	144	26
838	152	26
839	154	26
840	159	26
841	160	26
842	162	26
843	163	26
844	176	26
845	177	26
846	179	26
847	180	26
848	190	26
849	191	26
850	192	26
851	193	26
852	194	26
853	196	26
854	197	26
855	210	26
856	233	26
857	235	26
858	247	26
859	248	26
860	16	27
861	25	27
862	29	27
863	47	27
864	83	27
865	86	27
866	87	27
867	105	27
868	115	27
869	117	27
870	123	27
871	124	27
872	139	27
873	145	27
874	152	27
875	160	27
876	162	27
877	163	27
878	194	27
879	16	28
880	25	28
881	29	28
882	47	28
883	48	28
884	66	28
885	73	28
886	87	28
887	88	28
888	97	28
889	110	28
890	115	28
891	117	28
892	119	28
893	120	28
894	122	28
895	124	28
896	127	28
897	130	28
898	131	28
899	132	28
900	135	28
901	139	28
902	140	28
903	142	28
904	143	28
905	145	28
906	152	28
907	160	28
908	162	28
909	163	28
910	173	28
911	174	28
912	191	28
913	193	28
914	194	28
915	195	28
916	196	28
917	197	28
918	208	28
919	209	28
920	210	28
921	225	28
922	229	28
923	248	28
924	16	29
925	19	29
926	20	29
927	25	29
928	29	29
929	48	29
930	51	29
931	52	29
932	54	29
933	56	29
934	58	29
935	64	29
936	66	29
937	67	29
938	76	29
939	81	29
940	82	29
941	83	29
942	85	29
943	86	29
944	87	29
945	89	29
946	93	29
947	95	29
948	96	29
949	97	29
950	105	29
951	106	29
952	107	29
953	113	29
954	114	29
955	115	29
956	116	29
957	117	29
958	118	29
959	119	29
960	120	29
961	122	29
962	123	29
963	124	29
964	127	29
965	128	29
966	129	29
967	130	29
968	131	29
969	132	29
970	135	29
971	137	29
972	138	29
973	139	29
974	142	29
975	145	29
976	146	29
977	147	29
978	149	29
979	151	29
980	152	29
981	153	29
982	154	29
983	157	29
984	159	29
985	160	29
986	162	29
987	163	29
988	164	29
989	167	29
990	170	29
991	173	29
992	174	29
993	175	29
994	176	29
995	177	29
996	179	29
997	190	29
998	191	29
999	192	29
1000	193	29
1001	194	29
1002	195	29
1003	196	29
1004	197	29
1005	207	29
1006	208	29
1007	209	29
1008	210	29
1009	212	29
