,PREDATOR,PREY
1,Abyssorchomene_plebs,Antarctomysis_ohlinii
2,Abyssorchomene_plebs,Calanoides_acutus
3,Abyssorchomene_plebs,Codonellopsis_gaussi
4,Abyssorchomene_plebs,Corethron_criophilum
5,Abyssorchomene_plebs,Cymatocylis_antarctica
6,Abyssorchomene_plebs,Eucampia_balaustium
7,Abyssorchomene_plebs,Eukrohnia_hamata
8,Abyssorchomene_plebs,Euphausia_crystallorophias
9,Abyssorchomene_plebs,Euphausia_superba
10,Abyssorchomene_plebs,Eusirus_propeperdentatus
11,Abyssorchomene_plebs,Laackmanniella_naviculaefera
12,Abyssorchomene_plebs,Limacina_helicina
13,Abyssorchomene_plebs,Metridia_gerlachei
14,Abyssorchomene_plebs,Microcalanus_pygmaeus
15,Abyssorchomene_plebs,Pelagobia_longicirrata
16,Abyssorchomene_plebs,Primno_macropa
17,Abyssorchomene_plebs,Pseudosagitta_gazellae
18,Abyssorchomene_plebs,Thysanoessa_macrura
19,Abyssorchomene_rossi,Antarctomysis_ohlinii
20,Abyssorchomene_rossi,Calanoides_acutus
21,Abyssorchomene_rossi,Codonellopsis_gaussi
22,Abyssorchomene_rossi,Corethron_criophilum
23,Abyssorchomene_rossi,Cymatocylis_antarctica
24,Abyssorchomene_rossi,Eucampia_balaustium
25,Abyssorchomene_rossi,Eukrohnia_hamata
26,Abyssorchomene_rossi,Euphausia_crystallorophias
27,Abyssorchomene_rossi,Euphausia_superba
28,Abyssorchomene_rossi,Eusirus_propeperdentatus
29,Abyssorchomene_rossi,Laackmanniella_naviculaefera
30,Abyssorchomene_rossi,Limacina_helicina
31,Abyssorchomene_rossi,Metridia_gerlachei
32,Abyssorchomene_rossi,Microcalanus_pygmaeus
33,Abyssorchomene_rossi,Pelagobia_longicirrata
34,Abyssorchomene_rossi,Primno_macropa
35,Abyssorchomene_rossi,Pseudosagitta_gazellae
36,Abyssorchomene_rossi,Thysanoessa_macrura
37,Acodontaster_conspicuus,Calyx_arcuarius
38,Acodontaster_conspicuus,Haliclona_(Gellius)_tenella
39,Acodontaster_conspicuus,Haliclona_dancoi
40,Acodontaster_conspicuus,Haliclona_pedunculata
41,Acodontaster_conspicuus,Isodictya_setifera
42,Acodontaster_conspicuus,Kirkpatrickia_variolosa
43,Acodontaster_conspicuus,Mycale_acerata
44,Acodontaster_conspicuus,Polymastia_invaginata
45,Acodontaster_conspicuus,Rossella_racovitzae
46,Acodontaster_conspicuus,Tetilla_leptoderma
47,Acodontaster_hodgsoni,Calyx_arcuarius
48,Acodontaster_hodgsoni,Haliclona_(Gellius)_tenella
49,Acodontaster_hodgsoni,Haliclona_dancoi
50,Acodontaster_hodgsoni,Haliclona_pedunculata
51,Acodontaster_hodgsoni,Isodictya_setifera
52,Acodontaster_hodgsoni,Kirkpatrickia_variolosa
53,Acodontaster_hodgsoni,Mycale_acerata
54,Acodontaster_hodgsoni,Polymastia_invaginata
55,Acodontaster_hodgsoni,Rossella_racovitzae
56,Acodontaster_hodgsoni,Tetilla_leptoderma
57,Aetideopsis_antarctica,Antarctomysis_ohlinii
58,Aetideopsis_antarctica,Calanoides_acutus
59,Aetideopsis_antarctica,Codonellopsis_gaussi
60,Aetideopsis_antarctica,Corethron_criophilum
61,Aetideopsis_antarctica,Cymatocylis_antarctica
62,Aetideopsis_antarctica,Eucampia_balaustium
63,Aetideopsis_antarctica,Eukrohnia_hamata
64,Aetideopsis_antarctica,Euphausia_crystallorophias
65,Aetideopsis_antarctica,Euphausia_superba
66,Aetideopsis_antarctica,Eusirus_propeperdentatus
67,Aetideopsis_antarctica,Laackmanniella_naviculaefera
68,Aetideopsis_antarctica,Limacina_helicina
69,Aetideopsis_antarctica,Metridia_gerlachei
70,Aetideopsis_antarctica,Microcalanus_pygmaeus
71,Aetideopsis_antarctica,Pelagobia_longicirrata
72,Aetideopsis_antarctica,Primno_macropa
73,Aetideopsis_antarctica,Pseudosagitta_gazellae
74,Aetideopsis_antarctica,Thysanoessa_macrura
75,Alacia_belgicae,Antarctomysis_ohlinii
76,Alacia_belgicae,Calanoides_acutus
77,Alacia_belgicae,Codonellopsis_gaussi
78,Alacia_belgicae,Corethron_criophilum
79,Alacia_belgicae,Cymatocylis_antarctica
80,Alacia_belgicae,Eucampia_balaustium
81,Alacia_belgicae,Eukrohnia_hamata
82,Alacia_belgicae,Euphausia_crystallorophias
83,Alacia_belgicae,Euphausia_superba
