	Predator	Prey 
1	529	1
2	560	1
3	31	2
4	489	2
5	541	3
6	560	6
7	136	7
8	289	7
9	333	7
10	542	7
11	560	8
12	542	9
13	289	10
14	449	12
15	560	13
16	31	16
17	32	16
18	58	16
19	125	16
20	126	16
21	127	16
22	128	16
23	129	16
24	131	16
25	136	16
26	142	16
27	143	16
28	144	16
29	145	16
30	202	16
31	213	16
32	217	16
33	218	16
34	219	16
35	256	16
36	270	16
37	325	16
38	333	16
39	382	16
40	439	16
41	440	16
42	462	16
43	466	16
44	467	16
45	468	16
46	469	16
47	470	16
48	517	16
49	541	16
50	542	16
51	137	19
52	423	20
53	412	21
54	22	22
55	88	22
56	233	22
57	278	22
58	367	22
59	417	22
60	432	22
61	131	23
62	256	23
63	484	23
64	540	23
65	542	23
66	131	24
67	541	25
68	462	26
69	58	27
70	81	27
71	125	27
72	126	27
73	127	27
74	128	27
75	129	27
76	142	27
77	143	27
78	144	27
79	145	27
80	213	27
81	217	27
82	218	27
83	219	27
84	228	27
85	246	27
86	268	27
87	295	27
88	325	27
89	333	27
90	395	27
91	466	27
92	467	27
93	468	27
94	469	27
95	470	27
96	491	27
97	1	28
98	2	28
99	11	28
100	14	28
101	15	28
102	16	28
103	17	28
104	18	28
105	27	28
106	28	28
107	31	28
108	62	28
109	68	28
110	70	28
111	78	28
112	81	28
113	104	28
114	109	28
115	111	28
116	113	28
117	118	28
118	121	28
119	122	28
120	142	28
121	151	28
122	157	28
123	163	28
124	171	28
125	175	28
126	176	28
127	178	28
128	179	28
129	180	28
130	183	28
131	189	28
132	190	28
133	191	28
134	194	28
135	229	28
136	236	28
137	252	28
138	253	28
139	300	28
140	301	28
141	302	28
142	315	28
143	323	28
144	324	28
145	327	28
146	328	28
147	330	28
148	332	28
149	344	28
150	379	28
151	380	28
152	383	28
153	384	28
154	407	28
155	409	28
156	410	28
157	411	28
158	416	28
159	421	28
160	424	28
161	451	28
162	461	28
163	475	28
164	476	28
165	478	28
166	479	28
167	492	28
168	494	28
169	497	28
170	500	28
171	501	28
172	502	28
173	503	28
174	504	28
175	505	28
176	516	28
177	519	28
178	520	28
179	521	28
180	523	28
181	526	28
182	546	28
183	548	28
184	556	28
185	557	28
186	558	28
187	569	28
188	584	28
189	131	29
190	136	29
191	137	29
192	541	29
193	542	29
194	541	30
195	306	32
196	307	32
197	517	33
198	540	33
199	75	34
200	246	34
201	306	34
202	307	34
203	228	35
204	334	35
205	393	35
206	542	36
207	334	37
208	131	38
209	560	39
210	560	41
211	560	43
212	439	44
213	440	44
214	560	51
215	34	53
216	334	53
217	228	54
218	256	55
219	131	56
220	136	56
221	153	56
222	256	56
223	462	56
224	540	56
225	541	56
226	541	57
227	542	57
228	412	59
229	131	60
230	397	61
231	289	63
232	136	64
233	270	64
234	333	64
235	334	64
236	136	65
237	161	65
238	289	65
239	484	65
240	491	65
241	541	65
242	34	66
243	202	66
244	256	66
245	491	67
246	1	68
247	2	68
248	11	68
249	14	68
250	15	68
251	16	68
252	17	68
253	18	68
254	27	68
255	28	68
256	47	68
257	58	68
258	62	68
259	68	68
260	70	68
261	78	68
262	80	68
263	104	68
264	109	68
265	111	68
266	113	68
267	114	68
268	118	68
269	121	68
270	122	68
271	125	68
272	126	68
273	127	68
274	128	68
275	129	68
276	130	68
277	142	68
278	143	68
279	144	68
280	145	68
281	151	68
282	157	68
283	163	68
284	165	68
285	171	68
286	175	68
287	176	68
288	178	68
289	179	68
290	180	68
291	181	68
292	183	68
293	189	68
294	190	68
295	191	68
296	194	68
297	213	68
298	214	68
299	215	68
300	217	68
301	218	68
302	219	68
303	228	68
304	229	68
305	236	68
306	247	68
307	248	68
308	250	68
309	252	68
310	253	68
311	266	68
312	271	68
313	273	68
314	274	68
315	276	68
316	291	68
317	294	68
318	300	68
319	301	68
320	302	68
321	315	68
322	323	68
323	324	68
324	325	68
325	327	68
326	328	68
327	330	68
328	332	68
329	344	68
330	348	68
331	365	68
332	379	68
333	380	68
334	383	68
335	384	68
336	395	68
337	397	68
338	407	68
339	408	68
340	409	68
341	410	68
342	411	68
343	416	68
344	421	68
345	423	68
346	424	68
347	425	68
348	426	68
349	449	68
350	451	68
351	461	68
352	466	68
353	467	68
354	468	68
355	469	68
356	470	68
357	475	68
358	476	68
359	478	68
360	479	68
361	492	68
362	494	68
363	497	68
364	500	68
365	501	68
366	502	68
367	503	68
368	504	68
369	505	68
370	508	68
371	516	68
372	519	68
373	520	68
374	521	68
375	523	68
376	526	68
377	530	68
378	531	68
379	546	68
380	548	68
381	556	68
382	557	68
383	558	68
384	565	68
385	569	68
386	584	68
387	80	69
388	130	69
389	247	69
390	248	69
391	266	69
392	271	69
393	273	69
394	274	69
395	276	69
396	294	69
397	365	69
398	508	69
399	530	69
400	531	69
401	47	70
402	58	70
403	125	70
404	126	70
405	127	70
406	128	70
407	129	70
408	142	70
409	143	70
410	144	70
411	145	70
412	213	70
413	214	70
414	215	70
415	217	70
416	218	70
417	219	70
418	257	70
419	266	70
420	325	70
421	374	70
422	395	70
423	423	70
424	425	70
425	426	70
426	466	70
427	467	70
428	468	70
429	469	70
430	470	70
431	565	70
432	47	71
433	58	71
434	80	71
435	125	71
436	126	71
437	127	71
438	128	71
439	129	71
440	130	71
441	142	71
442	143	71
443	144	71
444	145	71
445	213	71
446	214	71
447	215	71
448	217	71
449	218	71
450	219	71
451	228	71
452	247	71
453	248	71
454	266	71
455	271	71
456	273	71
457	274	71
458	276	71
459	294	71
460	325	71
461	348	71
462	365	71
463	374	71
464	393	71
465	395	71
466	396	71
467	423	71
468	425	71
469	426	71
470	462	71
471	466	71
472	467	71
473	468	71
474	469	71
475	470	71
476	508	71
477	530	71
478	531	71
479	4	72
480	5	72
481	42	72
482	376	72
483	429	72
484	228	73
485	542	74
486	75	76
487	77	77
488	34	81
489	81	81
490	83	81
491	131	81
492	136	81
493	289	81
494	491	81
495	31	82
496	34	82
497	136	82
498	289	82
499	433	82
500	434	82
501	32	83
502	34	83
503	81	83
504	83	83
505	131	83
506	136	83
507	158	83
508	161	83
509	334	83
510	370	83
511	434	83
512	435	83
513	462	83
514	491	83
515	541	83
516	542	83
517	34	84
518	161	84
519	435	84
520	491	84
521	541	84
522	542	84
523	529	85
524	246	86
525	295	86
526	333	86
527	489	86
528	560	86
529	489	87
530	31	89
531	31	90
532	34	91
533	289	91
534	434	91
535	131	92
536	484	93
537	131	94
538	484	94
539	485	94
540	131	95
541	136	95
542	202	95
543	256	95
544	270	95
545	333	95
546	484	95
547	540	95
548	541	95
549	542	95
550	83	96
551	161	96
552	289	96
553	491	96
554	560	96
555	423	97
556	544	98
557	393	99
558	395	99
559	423	100
560	565	100
561	363	101
562	570	101
563	462	102
564	142	103
565	1	105
566	2	105
567	11	105
568	14	105
569	28	105
570	70	105
571	104	105
572	114	105
573	151	105
574	163	105
