,PREDATOR,PREY
1,"large_sharks/rays,_carnivorous","large_sharks/rays,_carnivorous"
2,"large_sharks/rays,_carnivorous","sharks/scombrids,_carnivorous"
3,"large_sharks/rays,_carnivorous","large_jacks,_carnivorous"
4,"large_sharks/rays,_carnivorous","intermediate_jacks,_carnivorous"
5,"large_sharks/rays,_carnivorous","small_jacks,_carnivrous"
6,"large_sharks/rays,_carnivorous","intermediate_reef_fish,_carnivorous1"
7,"large_sharks/rays,_carnivorous","large-intermediate_schooling_fish,_pelagic"
8,"large_sharks/rays,_carnivorous","intermediate_reef_fish,_carnivorous2"
9,"large_sharks/rays,_carnivorous","hemiramphidae,_herbivorous"
10,"large_sharks/rays,_carnivorous","kyphosidae,_herbivorous"
11,"large_sharks/rays,_carnivorous","intermediate_reef_fish,_herbivorous"
12,"large_sharks/rays,_carnivorous","large_reef_fish,_carnivorous"
13,"large_sharks/rays,_carnivorous","intermediate_reef_fish,_carnivorous3"
14,"large_sharks/rays,_carnivorous","small_reef_fish,_carnivorous1"
15,"large_sharks/rays,_carnivorous","small_schooling_fish,_pelagic"
16,"large_sharks/rays,_carnivorous","Engraulidae,_herbivorous"
17,"large_sharks/rays,_carnivorous","small_reef_fish,_carnivorous2"
18,"large_sharks/rays,_carnivorous","large_groupers,_carnivorous"
19,"large_sharks/rays,_carnivorous","intermediate_reef_fish,_carnivorous4"
20,"large_sharks/rays,_carnivorous","small_reef_fish,_omnivorous1"
21,"large_sharks/rays,_carnivorous","small_reef_fish,_omnivorous2"
22,"large_sharks/rays,_carnivorous","small_reef_fish,_omnivorous3"
23,"large_sharks/rays,_carnivorous","large_Scaridae,_herbivorous"
24,"large_sharks/rays,_carnivorous","intermediate_Scaridae,_herbivorous"
25,"large_sharks/rays,_carnivorous","small_Scaridae,_herbivorous"
26,"large_sharks/rays,_carnivorous","Blenniidae,_herbivorous"
27,"large_sharks/rays,_carnivorous",sea_birds
28,"large_sharks/rays,_carnivorous",squids
29,"large_sharks/rays,_carnivorous",sea_turtles
30,"large_sharks/rays,_carnivorous",octopuses
31,"large_sharks/rays,_carnivorous",lobsters
32,"large_sharks/rays,_carnivorous",crabs
33,"large_sharks/rays,_carnivorous",shrimps/hermit_crabs/stomatopods
34,"large_sharks/rays,_carnivorous",echinoids
35,"large_sharks/rays,_carnivorous",gastropods
36,"large_sharks/rays,_carnivorous",chitons/scaphopods
37,"large_sharks/rays,_carnivorous",polychaetes/priapuloids/ophiuroids
38,"large_sharks/rays,_carnivorous",holothuroids/sipunculids/echiuroids/hemichordates
39,"large_sharks/rays,_carnivorous",bivalves
40,"large_sharks/rays,_carnivorous",detritus/POM/DOM
41,"sharks/scombrids,_carnivorous","sharks/scombrids,_carnivorous"
42,"sharks/scombrids,_carnivorous","intermediate_jacks,_carnivorous"
43,"sharks/scombrids,_carnivorous","small_jacks,_carnivrous"
44,"sharks/scombrids,_carnivorous","intermediate_reef_fish,_carnivorous1"
45,"sharks/scombrids,_carnivorous","large-intermediate_schooling_fish,_pelagic"
46,"sharks/scombrids,_carnivorous","intermediate_reef_fish,_carnivorous2"
47,"sharks/scombrids,_carnivorous","hemiramphidae,_herbivorous"
48,"sharks/scombrids,_carnivorous","intermediate_reef_fish,_herbivorous"
49,"sharks/scombrids,_carnivorous","large_reef_fish,_carnivorous"
50,"sharks/scombrids,_carnivorous","intermediate_reef_fish,_carnivorous3"
51,"sharks/scombrids,_carnivorous","small_reef_fish,_carnivorous1"
52,"sharks/scombrids,_carnivorous","small_schooling_fish,_pelagic"
53,"sharks/scombrids,_carnivorous","Engraulidae,_herbivorous"
54,"sharks/scombrids,_carnivorous","small_reef_fish,_carnivorous2"
55,"sharks/scombrids,_carnivorous","small_reef_fish,_omnivorous1"
56,"sharks/scombrids,_carnivorous","small_reef_fish,_omnivorous2"
57,"sharks/scombrids,_carnivorous","intermediate_Scaridae,_herbivorous"
58,"sharks/scombrids,_carnivorous","small_Scaridae,_herbivorous"
59,"sharks/scombrids,_carnivorous","Blenniidae,_herbivorous"
60,"sharks/scombrids,_carnivorous",squids
61,"sharks/scombrids,_carnivorous",octopuses
62,"sharks/scombrids,_carnivorous",lobsters
63,"sharks/scombrids,_carnivorous",crabs
64,"sharks/scombrids,_carnivorous",shrimps/hermit_crabs/stomatopods
65,"sharks/scombrids,_carnivorous",gastropods
66,"sharks/scombrids,_carnivorous",chitons/scaphopods
67,"sharks/scombrids,_carnivorous",polychaetes/priapuloids/ophiuroids
68,"sharks/scombrids,_carnivorous",bivalves
69,"large_jacks,_carnivorous","intermediate_jacks,_carnivorous"
70,"large_jacks,_carnivorous","intermediate_reef_fish,_carnivorous1"
71,"large_jacks,_carnivorous","intermediate_reef_fish,_carnivorous2"
72,"large_jacks,_carnivorous","intermediate_reef_fish,_herbivorous"
73,"large_jacks,_carnivorous","intermediate_reef_fish,_carnivorous3"
74,"large_jacks,_carnivorous",crabs
75,"large_jacks,_carnivorous",shrimps/hermit_crabs/stomatopods
76,"large_jacks,_carnivorous",echinoids
77,"large_jacks,_carnivorous",gastropods
78,"large_jacks,_carnivorous",bivalves
79,"intermediate_jacks,_carnivorous","intermediate_reef_fish,_carnivorous1"
80,"intermediate_jacks,_carnivorous","large-intermediate_schooling_fish,_pelagic"
81,"intermediate_jacks,_carnivorous","intermediate_reef_fish,_carnivorous2"
82,"intermediate_jacks,_carnivorous","intermediate_reef_fish,_herbivorous"
83,"intermediate_jacks,_carnivorous","small_schooling_fish,_pelagic"
84,"intermediate_jacks,_carnivorous","Engraulidae,_herbivorous"
85,"intermediate_jacks,_carnivorous","small_reef_fish,_carnivorous2"
86,"intermediate_jacks,_carnivorous","small_reef_fish,_omnivorous1"
87,"intermediate_jacks,_carnivorous","small_reef_fish,_omnivorous2"
88,"intermediate_jacks,_carnivorous","small_reef_fish,_omnivorous3"
89,"intermediate_jacks,_carnivorous","large_Scaridae,_herbivorous"
90,"intermediate_jacks,_carnivorous","intermediate_Scaridae,_herbivorous"
91,"intermediate_jacks,_carnivorous","small_Scaridae,_herbivorous"
92,"intermediate_jacks,_carnivorous","Blenniidae,_herbivorous"
93,"intermediate_jacks,_carnivorous",squids
94,"intermediate_jacks,_carnivorous",crabs
95,"intermediate_jacks,_carnivorous",shrimps/hermit_crabs/stomatopods
96,"intermediate_jacks,_carnivorous",gastropods
97,"intermediate_jacks,_carnivorous",zooplankton
98,"small_jacks,_carnivrous","intermediate_jacks,_carnivorous"
99,"small_jacks,_carnivrous","small_jacks,_carnivrous"
100,"small_jacks,_carnivrous","large-intermediate_schooling_fish,_pelagic"
101,"small_jacks,_carnivrous","intermediate_reef_fish,_herbivorous"
102,"small_jacks,_carnivrous","small_schooling_fish,_pelagic"
103,"small_jacks,_carnivrous","Engraulidae,_herbivorous"
104,"small_jacks,_carnivrous",zooplankton
105,"intermediate_reef_fish,_carnivorous1","intermediate_reef_fish,_carnivorous1"
106,"intermediate_reef_fish,_carnivorous1","intermediate_reef_fish,_carnivorous2"
107,"intermediate_reef_fish,_carnivorous1","intermediate_reef_fish,_carnivorous3"
108,"intermediate_reef_fish,_carnivorous1","small_reef_fish,_carnivorous1"
109,"intermediate_reef_fish,_carnivorous1","small_schooling_fish,_pelagic"
110,"intermediate_reef_fish,_carnivorous1","small_reef_fish,_carnivorous2"
111,"intermediate_reef_fish,_carnivorous1","small_reef_fish,_omnivorous1"
112,"intermediate_reef_fish,_carnivorous1","large_Scaridae,_herbivorous"
113,"intermediate_reef_fish,_carnivorous1","intermediate_Scaridae,_herbivorous"
114,"intermediate_reef_fish,_carnivorous1","small_Scaridae,_herbivorous"
115,"intermediate_reef_fish,_carnivorous1",squids
116,"intermediate_reef_fish,_carnivorous1",octopuses
117,"intermediate_reef_fish,_carnivorous1",crabs
118,"intermediate_reef_fish,_carnivorous1",shrimps/hermit_crabs/stomatopods
119,"intermediate_reef_fish,_carnivorous1",asteroids
120,"intermediate_reef_fish,_carnivorous1",echinoids
121,"intermediate_reef_fish,_carnivorous1",gastropods
122,"intermediate_reef_fish,_carnivorous1",polychaetes/priapuloids/ophiuroids
123,"intermediate_reef_fish,_carnivorous1",holothuroids/sipunculids/echiuroids/hemichordates
124,"intermediate_reef_fish,_carnivorous1",bivalves
125,"intermediate_reef_fish,_carnivorous1",ascidians/barnacles/bryozoans
126,"intermediate_reef_fish,_carnivorous1",sponges
127,"intermediate_reef_fish,_carnivorous1",corals/sea_anemones
128,"intermediate_reef_fish,_carnivorous1",zooplankton
129,"intermediate_reef_fish,_carnivorous1",benthic_autotrophs
