	Predator	Prey
1	1	1
2	18	1
3	1	2
4	2	2
5	28	2
6	1	3
7	12	3
8	28	3
9	1	4
10	2	4
11	3	4
12	5	4
13	8	4
14	12	4
15	28	4
16	1	5
17	2	5
18	5	5
19	12	5
20	13	5
21	28	5
22	35	5
23	1	6
24	2	6
25	3	6
26	4	6
27	6	6
28	12	6
29	28	6
30	1	7
31	2	7
32	4	7
33	5	7
34	7	7
35	8	7
36	12	7
37	13	7
38	14	7
39	20	7
40	28	7
41	29	7
42	35	7
43	1	8
44	2	8
45	3	8
46	4	8
47	6	8
48	8	8
49	12	8
50	13	8
51	14	8
52	17	8
53	18	8
54	20	8
55	28	8
56	31	8
57	34	8
58	35	8
59	1	9
60	2	9
61	14	9
62	20	9
63	28	9
64	29	9
65	35	9
66	1	10
67	1	11
68	2	11
69	3	11
70	4	11
71	5	11
72	7	11
73	12	11
74	13	11
75	17	11
76	28	11
77	31	11
78	35	11
79	1	12
80	2	12
81	8	12
82	12	12
83	18	12
84	28	12
85	31	12
86	35	12
87	1	13
88	2	13
89	3	13
90	6	13
91	8	13
92	12	13
93	13	13
94	28	13
95	31	13
96	35	13
97	1	14
98	2	14
99	6	14
100	12	14
101	13	14
102	14	14
103	17	14
104	20	14
105	21	14
106	28	14
107	31	14
108	33	14
109	34	14
110	35	14
111	1	15
112	2	15
113	4	15
114	5	15
115	6	15
116	7	15
117	8	15
118	9	15
119	12	15
120	13	15
121	14	15
122	15	15
123	20	15
124	21	15
125	28	15
126	29	15
127	35	15
128	1	16
129	2	16
130	4	16
131	5	16
132	7	16
133	8	16
134	12	16
135	13	16
136	14	16
137	15	16
138	20	16
139	21	16
140	28	16
141	29	16
142	34	16
143	1	17
144	2	17
145	4	17
146	6	17
147	8	17
148	13	17
149	14	17
150	17	17
151	20	17
152	21	17
153	28	17
154	31	17
155	33	17
156	34	17
157	35	17
158	1	18
159	1	19
160	28	19
161	1	20
162	2	20
163	4	20
164	6	20
165	12	20
166	13	20
167	14	20
168	17	20
169	20	20
170	28	20
171	31	20
172	35	20
173	1	21
174	2	21
175	4	21
176	12	21
177	13	21
178	14	21
179	20	21
180	21	21
181	28	21
182	31	21
183	1	22
184	4	22
185	13	22
186	14	22
187	17	22
188	20	22
189	21	22
190	1	23
191	4	23
192	6	23
193	12	23
194	13	23
195	28	23
196	1	24
197	2	24
198	4	24
199	6	24
200	12	24
201	13	24
202	28	24
203	1	25
204	2	25
205	4	25
206	6	25
207	12	25
208	13	25
209	14	25
210	20	25
211	28	25
212	1	26
213	2	26
214	4	26
215	12	26
216	13	26
217	14	26
218	17	26
219	20	26
220	21	26
221	13	27
222	14	27
223	17	27
224	20	27
225	21	27
226	1	28
227	1	29
228	2	29
229	4	29
230	6	29
231	12	29
232	29	29
233	34	29
234	1	30
235	18	30
236	1	31
237	2	31
238	6	31
239	8	31
240	12	31
241	13	31
242	17	31
243	31	31
244	34	31
245	1	32
246	2	32
247	8	32
248	12	32
249	18	32
250	30	32
251	34	32
252	38	32
253	1	33
254	2	33
255	3	33
256	4	33
257	6	33
258	8	33
259	12	33
260	13	33
261	14	33
262	17	33
263	18	33
264	19	33
265	20	33
266	21	33
267	30	33
268	31	33
269	33	33
270	34	33
271	36	33
272	38	33
273	1	34
274	2	34
275	3	34
276	4	34
277	6	34
278	7	34
279	8	34
280	11	34
281	12	34
282	13	34
283	14	34
284	17	34
285	19	34
286	20	34
287	21	34
288	29	34
289	30	34
290	31	34
291	33	34
292	34	34
293	38	34
294	8	35
295	13	35
296	14	35
297	15	35
298	17	35
299	20	35
300	21	35
301	22	35
302	27	35
303	33	35
304	34	35
305	38	35
306	40	35
307	6	36
308	19	36
309	21	36
310	30	36
311	34	36
312	36	36
313	37	36
314	1	37
315	3	37
316	6	37
317	8	37
318	12	37
319	13	37
320	14	37
321	19	37
322	21	37
323	30	37
324	33	37
325	34	37
326	36	37
327	37	37
328	1	38
329	2	38
330	3	38
331	4	38
332	6	38
333	8	38
334	11	38
335	12	38
336	13	38
337	14	38
338	17	38
339	20	38
340	21	38
341	26	38
342	30	38
343	31	38
344	32	38
345	33	38
346	34	38
347	36	38
348	38	38
349	40	38
350	1	39
351	2	39
352	8	39
353	13	39
354	14	39
355	17	39
356	31	39
357	34	39
358	36	39
359	38	39
360	1	40
361	2	40
362	6	40
363	7	40
364	8	40
365	11	40
366	13	40
367	14	40
368	17	40
369	19	40
370	20	40
371	21	40
372	22	40
373	31	40
374	32	40
375	33	40
376	34	40
377	36	40
378	37	40
379	38	40
380	40	40
381	1	41
382	6	41
383	8	41
384	13	41
385	14	41
386	17	41
387	19	41
388	21	41
389	33	41
390	34	41
391	36	41
392	37	41
393	38	41
394	1	42
395	2	42
396	3	42
397	6	42
398	8	42
399	12	42
400	13	42
401	14	42
402	17	42
403	20	42
404	21	42
405	22	42
406	30	42
407	31	42
408	32	42
409	33	42
410	34	42
411	36	42
412	37	42
413	38	42
414	40	42
415	6	43
416	8	43
417	13	43
418	15	43
419	19	43
420	20	43
421	21	43
422	30	43
423	33	43
424	35	43
425	36	43
426	38	43
427	39	43
428	40	43
429	6	44
430	8	44
431	13	44
432	19	44
433	20	44
434	21	44
435	23	44
436	24	44
437	30	44
438	33	44
439	35	44
440	36	44
441	37	44
442	38	44
443	39	44
444	40	44
445	6	45
446	8	45
447	13	45
448	19	45
449	20	45
450	21	45
451	23	45
452	30	45
453	33	45
454	35	45
455	36	45
456	37	45
457	38	45
458	39	45
459	40	45
460	4	46
461	5	46
462	6	46
463	7	46
464	8	46
465	11	46
466	12	46
467	13	46
468	14	46
469	15	46
470	16	46
471	17	46
472	19	46
473	20	46
474	21	46
475	22	46
476	26	46
477	28	46
478	29	46
479	33	46
480	34	46
481	35	46
482	40	46
483	43	46
484	45	46
485	15	47
486	21	47
487	33	47
488	34	47
489	35	47
490	36	47
491	38	47
492	39	47
493	40	47
494	41	47
495	42	47
496	43	47
497	44	47
498	45	47
499	46	47
500	16	48
501	33	48
502	40	48
503	41	48
504	42	48
505	43	48
506	46	48
507	6	49
508	7	49
509	8	49
510	9	49
511	10	49
512	11	49
513	13	49
514	14	49
515	19	49
516	20	49
517	21	49
518	22	49
519	23	49
520	24	49
521	25	49
522	26	49
523	30	49
524	32	49
525	33	49
526	34	49
527	35	49
528	36	49
529	37	49
530	38	49
531	39	49
532	40	49
533	41	49
534	45	49
535	47	49
536	1	50
537	11	50
538	16	50
539	20	50
540	21	50
541	22	50
542	26	50
543	32	50
544	33	50
545	34	50
546	35	50
547	36	50
548	38	50
549	40	50
550	41	50
551	42	50
552	43	50
553	44	50
554	45	50
555	46	50
556	47	50
